"Blooket
Import Template",,,,,,,,,
51,"While baking a cake, Sarah enjoyed listening to music. Who was baking a cake?","the cake","music","Sarah","enjoyed",30,3,,
52,"Walking through the park, Tom spotted a friendly dog. Who was walking through the park?","spotted","a friendly dog","Tom","the park",30,3,,
53,"On her way to school, Maria picked up the mail. Who was on her way to school?","the mail","picked","Maria","the school",30,3,,
54,"Riding his bike, Jacob felt the wind in his hair. Who was riding his bike?","the wind","Jacob","felt","his hair",30,2,,
55,"After enjoying a movie, Jake discussed the plot with friends. Who enjoyed a movie?","discussed","the plot","the friends","Jake",30,4,,
56,"Preparing dinner, Lisa arranged the table beautifully. Who was preparing dinner?","Lisa","the table","dinner","arranged",30,1,,
57,"While painting a picture, Emily listened to her favorite songs. Who was painting a picture?","Emily","listened","her favorite songs","the picture",30,1,,
58,"Driving to the beach, Gary was excited for the day. Who was driving to the beach?","the beach","Gary","for the day","excited",30,2,,
59,"Sipping coffee in the morning, Anna read the newspaper. Who was sipping coffee?","read","the newspaper","Anna","coffee",30,3,,
60,"While training for the marathon, David followed a strict plan. Who was training for the marathon?","a strict plan","David","the marathon","followed",30,2,,
61,"After completing the project, the team celebrated their hard work. Who completed the project?","the team","celebrated","their hard work","the project",30,1,,
62,"During the meeting, Sam presented his ideas clearly. Who presented his ideas?","his ideas","Sam","clearly","the meeting",30,2,,
63,"Walking the dog, Emily enjoyed the fresh air while talking on her phone. Who was walking the dog?","the dog","Emily","the fresh air","the phone",30,2,,
64,"After a long day at work, my friends and I went out for dinner at a fancy restaurant. Who went out for dinner?","my friends and I","a long day","work","the fancy restaurant",30,1,,
65,"While studying for exams, Mark took breaks when needed. Who was studying for exams?","took","the exams","breaks","Mark",30,4,,
66,"Trying out new recipes, Sarah invited everyone over for dinner. Who was trying out new recipes?","everyone","new recipes","over","Sarah",30,4,,
67,"After cleaning her room, Molly felt accomplished. Who cleaned her room?","felt","her room","Molly","accomplished",30,3,,
68,"While reading a book, Michael found a quiet spot. Who was reading a book?","the book","Michael","a quiet spot","found",30,2,,
69,"Finishing the puzzle, Maria felt satisfied to see the landscape emerge. Who finished the puzzle?","satisfied","Maria","the puzzle","the landscape",30,2,,
70,"Opening up her new laptop for the first time, Jessica's elbow knocked over a vase. Who opened the laptop?","the elbow","the vase","the laptop","Jessica",30,1,,
71,"Feeling pride for finishing the job, the wheelbarrow was the last item packed before Jared drove off in his truck. Who was feeling pride?","the wheelbarrow","Jared","the job","the truck",30,1,,
